sample,FBN1,TCF7L1,CCL5,FN1,ADAMDEC1,CTSK,COL3A1,CD74,TIMP3,POSTN,CXCL9,SALL2,NUAK1,SLAMF7,CYTIP,TAP1,FCER1G,COL5A1,ABCC3,THBS2,COL1A2,CD3e,OLFML3,ADAM12,CRISPLD2,INHBA,GFPT2,SPARC,FAP,PDGFRB,LUM,CD3D,VCAN,EPB41L3,DCN,LRRC15,SLAMF8,CD27,COL5A2,LOX,COL11A1,CD2,PDZK1IP1,TMEM45A,CD38,HMGA2,CD8A,AXL,CXCL11,CD68,FGF1,CSF1R,TAGLN,TLR4,ZNF423
20180724_OTTA2-108-SYD-20H_TAOC00241-N1_04,-0.6659891384404237,-4.577295465853605,-2.5356999732638816,3.365163361261824,-5.60402341856418,0.8674539080128527,5.346832275263509,1.9058895635659585,1.8363358129267104,-0.977874045263752,-2.1583927942695333,-3.769591488426876,-3.2941648074448504,-3.2256910762436757,-3.5777581363821174,-3.8266856877388227,-2.6966199885016655,1.1248925246491828,-3.0973935193969173,1.365742669967492,4.738911361481052,-5.193506217869084,-0.7831645244641634,-2.651406500831669,0.040859687836469316,-0.3551577103159005,-3.763893154215837,4.658935279873106,-1.9546932128263865,-1.9601721890124932,2.238779986626397,-4.823963080221004,-1.1471283540029504,-2.3773571870171297,1.524431944072651,-1.2426981578745986,-4.906113952072854,-5.346402498184054,1.2800081041527718,-1.0218350260855797,1.0392194403566881,-4.603003498704318,-4.916108016484294,-2.5362844043557833,-5.899089954597772,-3.1700323390536838,-3.29349538343772,-2.017630788653264,-3.940763627652144,-2.561580321790781,-4.162624463006986,-4.614151898272317,2.2263862482769934,-3.754019477554183,-5.0407142449573525
20180724_OTTA2-108-SYD-20H_TAOC00518-N1_07,-1.1594809776486437,-4.294147415112857,-2.7309706232491258,3.21341397900746,-6.098854845834671,-0.8916571923277425,4.360292844233477,2.6521894773964103,0.67811594235372,-2.013023265996731,-3.157513533584456,-4.024108372476112,-3.28949389580804,-3.625410261538124,-4.423663042407837,-3.74532483762938,-2.354747250685013,0.9248459959357626,-2.5397597785957173,0.7151934225542911,3.718508806718341,-5.15984295207005,-1.275280893986913,-3.441029073726141,-1.8534001508750344,-2.5672105369730307,-4.875657932435059,3.895553398148577,-2.830927038605961,-2.6107545941509867,1.3640129859544685,-5.35419929918828,-2.221020876997694,-2.528117203963121,0.8094358302341025,-3.19479294592747,-5.340016587012763,-5.078275386719233,0.24641128490125608,-1.259636417167457,0.25510785337245334,-4.637943724240867,-2.5828307227140566,-3.0717571634805867,-5.130890487346592,-5.8495631558881,-3.8285646542083764,-2.6288054836406918,-4.719554219156638,-2.3867002964728554,-5.413034878232477,-4.370271308650209,2.18660006774272,-3.5328112931618514,-5.092554407400688
20180724_OTTA2-108-SYD-20H_TAOC02081-N1_12,-0.7759280247416886,-3.9877591924816427,-1.4342683595678936,2.8867533495266384,-6.345532161812496,0.398675652141546,4.919254374109013,3.0897129760888316,1.2724135806582768,-0.6878805201206986,-2.4736527165556637,-3.4489351012254525,-2.661474272872429,-3.3696656911033918,-3.7083122212473576,-3.4870612252074515,-2.214753583422305,2.034138582780737,-2.5734464443330105,1.1331462915811839,4.034353664635737,-3.9035711436785343,-0.08498134243499988,-3.0268474157852108,-0.44324084830614874,-2.9749492956293775,-4.137852624423632,4.212098217713052,-1.6241752745339664,-1.6941850463583656,2.618354030932291,-4.267593594532036,-1.2620006281227032,-1.4644893240721277,1.2827874343704302,-1.5672447769137827,-4.432972565755392,-4.34144544223059,0.9880308809971576,-0.9304781661756913,0.5769680042419116,-3.6746659320023793,-3.2185531791126327,-2.0885707800711164,-5.327446974204457,-5.648784992309671,-2.7541983099640124,-2.1612408745125986,-4.250287776437401,-1.93425984933132,-3.598442294647012,-3.694584875676174,2.4876297031080608,-2.7040022927174774,-4.828582509618196
20180724_OTTA2-108-SYD-20H_TAOC02440-N1_05,-1.1036763325150756,-4.528972577446101,-1.51376450195666,3.5555399124489417,-4.32094056705712,-0.3804404131711694,5.059080634406303,1.9629982001824136,0.6537280510955124,-1.5646023821602315,-1.6777856058877165,-4.58450894525905,-2.8930548915935295,-3.3002888512575446,-3.2858920498847555,-4.185230412828397,-2.655356829218202,1.1713804057876578,-2.286930016977411,0.6241085107247242,4.34470639186,-4.357675368759524,-0.5876403713701808,-2.9924974081420874,-0.6308702169415512,-2.0516309009363614,-4.176059978545731,4.374046093441107,-2.7518229227955207,-3.05263681085272,1.8932947800625644,-4.718041629818895,-1.795921672899301,-2.3485251615588645,0.9550507767122145,-3.1163593588694862,-6.326337961865668,-4.983325302236543,0.4213102116403511,-1.4948035638229897,0.1953069914073362,-4.712392522187182,-5.983938554672569,-3.245065860525495,-5.4111834926671945,-7.34995120942882,-2.5108551863199633,-3.078443528867731,-4.167364803711701,-2.518119397413545,-5.445807106872644,-4.806888730378541,1.8244439717735546,-3.615165162099643,-5.227191675481276
20180724_OTTA2-108-SYD-20H_TGER00279-N1_10,-0.7312911569064888,-3.837571013897385,-2.9225909488282213,4.069963381418922,-7.004723923674342,0.2298901620941196,5.042942662449587,2.1348872673516546,2.3409460926776773,-1.5771161319278237,-3.1702159360720272,-2.5793908529317324,-2.7397533775573906,-4.776907454996467,-3.770562574517421,-3.7443004950905747,-3.1753190872900108,0.9508219965747305,-2.1117263214987623,1.1784166190509262,3.9261533001711113,-5.371813286777992,-0.19007228077005633,-3.422685174151427,-0.17058585851089214,-1.103748507350014,-3.9772048641910285,4.0519286637434675,-1.4253791598367478,-1.9963855411960574,2.658264326251437,-6.121849983781179,-0.9427197796123044,-2.5946558234553194,2.0818765967369544,-1.078291273225715,-7.001956053409905,-5.242676129860293,0.46534819398671656,-0.8033342754495085,0.7091946732068104,-5.654197429238884,-4.57358482286873,-2.5991116375730106,-5.946154513196369,-4.803753378827168,-3.9037507243347367,-2.146654098390048,-5.255130267299827,-3.322216685971486,-4.5022111588713845,-5.427461546065066,1.391129587478174,-4.0215920177122335,-4.434243642119095
20180724_OTTA2-108-SYD-20H_TLAX00307-N1_02,-5.183453536418716,-5.29624117920166,-2.7039289939623594,-3.148919224092717,-6.02595106464558,-3.1986917735907454,-0.9040345170213002,0.30494279075491004,-4.0324078067143905,-5.9441362409842355,-4.637196076575556,-5.7992177049265,-5.674306313045088,-3.8727355936245607,-4.666309289597761,-3.6206373264403906,-3.237250379489157,-5.655241164656103,-2.1449783951445762,-4.708307516398333,-0.9005478812703469,-5.267552715630692,-5.543447881862745,-20.857535093700818,-5.631196391090338,-5.950835901106524,-20.856066620983285,-0.6078128545826005,-6.764012978731956,-6.869355816457087,-3.042277911941374,-5.09065699791215,-6.10748994949042,-4.4134358595145935,-3.5301716183611993,-6.266675839905193,-5.608147698835671,-5.420439159630748,-4.266425357043934,-4.570561369770177,-5.047054360753163,-3.880594837623825,-3.054301780343734,-3.543228221110264,-5.906012732456129,-6.49427796914944,-3.3675570141806626,-5.649038118484391,-5.199221187933634,-3.1043184744040326,-5.892690917849333,-5.6881743517176835,-0.9408144329549036,-4.5974566101116245,-5.593927343911148
20180724_OTTA2-108-SYD-20H_TMAY02650-N1_01,-1.2426734366487158,-3.5266908386207447,-3.5082059947192854,3.6809738090559465,-4.478339143425745,0.00573718897729858,4.8764457834440265,2.991554978572614,1.2656383298211877,-0.29715858238307313,-2.5773495886102515,-3.5250836636004887,-2.3227775286944223,-4.258669162264482,-3.6056145737337664,-2.915244891555443,-2.433173734067485,1.5473438773612296,-2.927954074575523,0.6318777513355884,4.031590188083114,-6.079981177839478,-0.9073085676057899,-2.575404819038482,-0.8075297639072478,-1.3092767877416875,-3.6746109571273173,3.8220081179402747,-1.0866223206739516,-1.321201628888915,1.8606997932896152,-5.879897470561932,-1.1923040852990519,-2.626102661147435,1.170776409283297,-2.2813679360372747,-6.187644768051411,-5.603973840358383,0.48208828970699136,-0.9812914133697732,1.0303760991564035,-5.866659174771557,-3.619571728127712,-2.973988488966031,-4.678122067785163,-5.367485218424986,-4.923814398680097,-2.395612770859911,-3.6045483143467623,-2.6869183880993406,-4.484878153099514,-4.7786121911720665,1.9805499370501956,-3.795473905561924,-4.675352809464285
20180724_OTTA2-108-SYD-20H_TSRF40163-N1_09,-1.4091530515865949,-3.9079754244267173,-3.4073409228342784,2.7485944792154013,-5.190252125208721,-0.20295380649413186,4.770049938667913,1.0788375995144577,0.9916318570105989,-0.6345053926690822,-2.926994685717459,-2.3520814311292435,-2.4235488363422344,-2.7959898825886844,-3.3375344839439682,-3.9978859508326003,-3.7938212898461483,0.8992882718177871,-0.9682050799582638,0.7475756278712298,4.315366147264894,-4.794389507135983,-1.1147736192628588,-3.364837222969565,-1.3100505311169681,0.03235110210686187,-3.6171244475288695,3.5409281103841295,-1.4472103176377686,-2.064053035999581,1.4724023602549159,-4.399312896248838,-2.015449580043835,-2.188664527802511,0.3849233023858414,-1.6122160799600378,-2.403234340602605,-3.5847221876705033,0.9236583415871578,-1.3457913495972513,0.7961515102923356,-3.45989198833756,-4.218551747082364,-2.3382540736661457,-3.9003714269653154,-3.369069134470414,-3.7297506697258944,-2.5403061759314465,-2.904074236756376,-2.6659091923783347,-3.3200215760722713,-4.022391397708766,1.6318964804265033,-3.4397947121554906,-4.53580506966303
20180724_OTTA2-108-SYD-20H_TTRI20070-N1_11,-0.8938451734741428,-3.026103375331287,-3.518940821776584,4.289569832553151,-3.9495695379877347,0.48860770854247537,4.5103904494725136,2.4862057917677873,2.0737312390012543,0.07620171804270526,-4.403956425866205,-3.777260082785153,-1.6696345022617192,-4.538126283174763,-3.972426338426108,-4.2655272154666255,-2.3452258779376445,1.4487952553844279,-1.4986163075275987,0.9080670246272253,3.708876834897917,-5.776085067131043,-2.0163621229954276,-2.835475396370782,-2.594864500594984,-1.7264407535531507,-4.787356343914498,3.2329394545401673,-0.9390912022223894,-1.560882560251351,2.27889196202161,-5.738522655871657,-0.8627439459523338,-2.723321826635802,1.2969117443914335,-1.785959643687561,-4.788402064424156,-5.600657459195685,0.45367654275448954,-1.0076119120957139,1.4976322477719846,-5.765490727182014,-5.546877043358219,-2.6247363233884085,-6.677590657068978,-2.555109217700979,-4.933937919278373,-2.119030222540859,-5.790227093209483,-2.1504885786365913,-3.595420624361817,-4.666216359654673,1.0889074941865822,-3.523695385048676,-5.162467516413369
20180724_OTTA2-108-SYD-20H_TTRI20078-N1_08,-0.7993938546908699,-3.0208697400741134,-4.429370074870391,4.5316225262098735,-6.311834058073313,0.3183192563465136,5.426096669019435,2.010790552885398,1.7650942367958833,0.17973916824321257,-4.776185861736902,-3.215973396903987,-1.4388930218101241,-5.003884324186247,-3.4676470567891586,-4.484510474049892,-2.374518274740937,2.2770891386600995,-1.544077007255082,1.3223827902464966,4.013373542100255,-5.998174071944027,-0.6405149764563656,-1.7297222342099303,0.01899791104976023,-1.118392260810781,-3.3191305168003638,3.974014769500135,-0.6589841762686142,-1.0931129477332537,2.6247102602936336,-6.259395816226306,-0.048059731180867704,-2.1369164390017357,1.816967693036874,-3.675394214309807,-5.808300988099238,-6.151071870238698,1.0846278876523132,-0.13157368324817442,0.9846006938814673,-6.278628046761224,-6.096850963495687,-2.3157664368893287,-5.597118107825546,-4.265566346605707,-4.9969818012754015,-1.9683971581807267,-7.192885499141644,-1.6600570287492635,-3.21583357593438,-5.107618323243391,2.280466162162776,-3.811497415201846,-3.451903471354542
