sample,geneRLF,nanostring.date,cartridgeID,lane.number,fov.count,fov.counted,binding.density,linPC,linFlag,perFOV,imagingFlag,lod,llod,spcFlag,gd,pergd,averageHK,sn,bdFlag,normFlag,QCFlag
20181129_OTTA3-001-SYD-20H_DOVE42303_05,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,5,555,548,0.91,1,Passed,98.73873873873875,Passed,14.637247699341653,-0.13724769934165426,Passed,55,100,849889.6393917092,58063.486855519644,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_DOVE43211_11,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,11,555,537,1.22,1,Passed,96.75675675675676,Passed,30.642845768876185,2.607154231123813,Passed,55,100,1057861.580722652,34522.30216154133,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_TAOC00241_07,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,7,555,545,0.26,1,Passed,98.1981981981982,Passed,16.75391911138649,-3.753919111386491,Passed,55,100,43681.13062214028,2607.2186651810443,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_TAOC00518_10,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,10,555,544,0.29,1,Passed,98.01801801801801,Passed,24.64911064067352,-0.6491106406735181,Passed,55,100,78919.42670878954,3201.714977033067,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_TAOC02440_08,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,8,555,547,0.33,1,Passed,98.55855855855856,Passed,20.691402365066633,-1.191402365066633,Passed,55,100,99281.73583989026,4798.212034555375,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_TPOC10081_06,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,6,555,544,0.91,1,Passed,98.01801801801801,Passed,19.8496214548843,-1.8496214548843,Passed,55,100,625461.5638170177,31509.99958556456,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_TPOL00833_04,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,4,555,550,0.5,1,Passed,99.09909909909909,Passed,10.141195788629908,-2.141195788629908,Passed,55,100,262017.87283121966,25836.98000634092,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_TSRF40163_12,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,12,555,545,0.19,1,Passed,98.1981981981982,Passed,25.630436812405996,-7.630436812405996,Passed,54,98.18181818181819,8494.648904777634,331.4281752960971,Passed,Passed,Passed
20181129_OTTA3-001-SYD-20H_TWMH00559_09,OTTA2018_C6830,2018-11-29,OTTA3-001-SYD-20H,9,555,551,0.7,1,Passed,99.27927927927928,Passed,20.856107606091623,1.1438923939083772,Passed,55,100,208183.68004973093,9981.90477253411,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_DOVE42270_09,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,9,555,548,1.4,1,Passed,98.73873873873875,Passed,27.74943692551161,5.630744883919903e-4,Passed,55,100,777338.061300468,28012.750795163618,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_DOVE42946_07,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,7,555,542,1.95,1,Passed,97.65765765765767,Passed,26.084481093454734,1.6655189065452678,Passed,55,100,623920.0813459195,23919.20617897502,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_DOVE43207_10,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,10,555,552,1.81,1,Passed,99.45945945945947,Passed,34.89389706011694,0.8561029398830549,Passed,55,100,526983.4840500805,15102.454252735577,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_DOVE43495_11,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,11,555,546,0.66,1,Passed,98.37837837837839,Passed,27.921180068162375,3.078819931837625,Passed,55,100,319087.8607650227,11428.1652847785,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TAOC02081_03,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,3,555,553,0.2,1,Passed,99.63963963963964,Passed,8.7356938190329,-1.2356938190328997,Passed,54,98.18181818181819,35784.77332525667,4096.38593872081,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TAOC02259_06,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,6,555,551,0.62,1,Passed,99.27927927927928,Passed,18.62543553081666,-1.8754355308166577,Passed,55,100,455291.3574145236,24444.601934876777,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TAOC02770_05,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,5,555,553,0.28,1,Passed,99.63963963963964,Passed,14.79036755451237,-0.29036755451237006,Passed,55,100,54928.46592414883,3713.799925640847,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TAOC10037_04,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,4,555,553,0.65,1,Passed,99.63963963963964,Passed,14.512216091163225,-1.762216091163225,Passed,55,100,335146.2283575331,23094.076483715693,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TGER00279_01,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,1,555,553,0.84,1,Passed,99.63963963963964,Passed,37.729569005631376,5.5204309943686205,Passed,55,100,487120.9817873674,12910.854659237202,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TVAN21879_12,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,12,555,537,1.03,1,Passed,96.75675675675676,Passed,41.25868521995629,4.241314780043705,Passed,55,100,415146.4893010218,10062.038746213388,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TVAN25509_08,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,8,555,552,2,1,Passed,99.45945945945947,Passed,31.390185014530218,-2.1401850145302177,Passed,55,100,782560.1884004568,24930.091620620176,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TWMH00380_02,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,2,555,546,0.56,1,Passed,98.37837837837839,Passed,10.220219666769935,2.5297803332300655,Passed,55,100,347480.3179866973,33999.300339551046,Passed,Passed,Passed
